epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9622,1.40853,3.06775,1.47095,0.49309,0.33117,0.3301,0.15593,1.69511,2.63656,1.62031,0.00023654,0.00023654,0.00023654
2,118.287,1.33153,1.96752,1.42974,0.55835,0.37976,0.41495,0.19751,1.76917,2.259,1.76226,0.00045888,0.00045888,0.00045888
3,162.362,1.29225,1.74285,1.40161,0.6044,0.42769,0.47282,0.21632,1.86938,2.12317,1.7846,0.000665512,0.000665512,0.000665512
4,205.824,1.26876,1.65528,1.39062,0.62687,0.46348,0.50997,0.23598,1.81043,2.01745,1.72551,0.000643314,0.000643314,0.000643314
5,249.563,1.243,1.55257,1.36274,0.71622,0.51515,0.55944,0.27157,1.78485,1.85949,1.7079,0.000619752,0.000619752,0.000619752
6,294.106,1.20407,1.47483,1.33981,0.68786,0.52726,0.5511,0.27507,1.64336,1.67629,1.61384,0.00059619,0.00059619,0.00059619
7,338.026,1.19238,1.42001,1.33343,0.66992,0.55624,0.59665,0.29099,1.66145,1.67309,1.63856,0.000572628,0.000572628,0.000572628
8,382.041,1.16423,1.35781,1.30391,0.74472,0.55293,0.62123,0.32319,1.61998,1.47788,1.58673,0.000549066,0.000549066,0.000549066
9,425.951,1.14695,1.32558,1.29744,0.75927,0.572,0.62762,0.29593,1.6676,1.43654,1.62815,0.000525504,0.000525504,0.000525504
10,469.414,1.142,1.2847,1.28907,0.69748,0.53151,0.57479,0.29371,1.61378,1.48738,1.59665,0.000501942,0.000501942,0.000501942
11,515.007,1.12883,1.25014,1.27852,0.73315,0.60866,0.65489,0.32952,1.61904,1.32826,1.59132,0.00047838,0.00047838,0.00047838
12,559.458,1.10647,1.21199,1.26377,0.78431,0.59456,0.66072,0.34692,1.57777,1.29243,1.57149,0.000454818,0.000454818,0.000454818
13,603.679,1.09988,1.18041,1.25693,0.78321,0.56352,0.64106,0.34588,1.55201,1.31826,1.52172,0.000431256,0.000431256,0.000431256
14,648.363,1.08377,1.15247,1.24839,0.79452,0.60414,0.67638,0.34336,1.5906,1.24456,1.56456,0.000407694,0.000407694,0.000407694
15,692.853,1.07134,1.12657,1.23782,0.82117,0.61478,0.67336,0.35448,1.55152,1.20333,1.56433,0.000384132,0.000384132,0.000384132
16,737.552,1.07439,1.11736,1.23643,0.80115,0.63231,0.69108,0.37854,1.49963,1.18213,1.49635,0.00036057,0.00036057,0.00036057
17,781.638,1.07058,1.08945,1.22906,0.80911,0.62465,0.69586,0.36044,1.62201,1.14975,1.58233,0.000337008,0.000337008,0.000337008
18,827.504,1.04047,1.0598,1.22031,0.81745,0.64408,0.70285,0.38998,1.46093,1.09891,1.47158,0.000313446,0.000313446,0.000313446
19,872.395,1.03018,1.04287,1.20965,0.77983,0.65685,0.69388,0.38315,1.49142,1.12093,1.46655,0.000289884,0.000289884,0.000289884
20,917.052,1.02804,1.02799,1.20316,0.83506,0.66241,0.7141,0.39345,1.50623,1.08652,1.50565,0.000266322,0.000266322,0.000266322
21,960.477,1.05261,0.97239,1.22392,0.82418,0.65413,0.70878,0.3813,1.51603,1.09428,1.50324,0.00024276,0.00024276,0.00024276
22,1000.98,1.03158,0.9243,1.21049,0.83213,0.66752,0.72744,0.41103,1.39685,1.05673,1.42338,0.000219198,0.000219198,0.000219198
23,1041.63,1.00497,0.88311,1.18677,0.86629,0.66175,0.72963,0.40608,1.41578,1.03602,1.42786,0.000195636,0.000195636,0.000195636
24,1082.21,1.00236,0.87266,1.18781,0.83084,0.67203,0.73244,0.41958,1.37493,0.99042,1.41723,0.000172074,0.000172074,0.000172074
25,1122.71,0.97911,0.83807,1.17248,0.82188,0.68413,0.74041,0.41945,1.37976,0.97028,1.41048,0.000148512,0.000148512,0.000148512
26,1162.89,0.96925,0.83237,1.1622,0.84425,0.67769,0.74229,0.42357,1.39868,0.97106,1.41466,0.00012495,0.00012495,0.00012495
27,1203.17,0.95671,0.8097,1.1562,0.83813,0.67282,0.7414,0.44438,1.31804,0.93567,1.36263,0.000101388,0.000101388,0.000101388
28,1244.01,0.94401,0.80162,1.15348,0.87196,0.67672,0.75712,0.44532,1.36409,0.91402,1.39346,7.7826e-05,7.7826e-05,7.7826e-05
29,1284.77,0.93546,0.78388,1.13977,0.86136,0.67837,0.75225,0.43057,1.37704,0.91522,1.41461,5.4264e-05,5.4264e-05,5.4264e-05
30,1325.05,0.92599,0.77706,1.13597,0.84704,0.68991,0.75226,0.44764,1.33925,0.90185,1.37987,3.0702e-05,3.0702e-05,3.0702e-05
